tourney_id,tourney_name,tourney_date,surface,winner_id,loser_id,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,winner_name_full,winner_hand,winner_birthdate,winner_country,loser_name_full,loser_hand,loser_birthdate,loser_country,winner_age_calc,loser_age_calc,w_1st_pct,l_1st_pct,w_1st_won_pct,l_1st_won_pct,w_bp_saved_pct,diff_age
2000-891,Chennai,2000-01-03,Hard,102966,102466,6-3 6-3,3,R32,58.0,9.0,0.0,52.0,29.0,25.0,13.0,9.0,4.0,4.0,5.0,5.0,52.0,23.0,15.0,15.0,9.0,3.0,6.0,126.0,198.0,103.0,260.0,Fredrik Jonsson,Right,1977-03-28,SWE,Jan Kroslak,Right,1974-10-17,SVK,22.0,25.0,55.769230769230774,44.230769230769226,86.20689655172413,65.21739130434783,100.0,-3.0
2000-891,Chennai,2000-01-03,Hard,101969,102198,6-4 7-6(4),3,R32,96.0,2.0,8.0,83.0,41.0,33.0,20.0,11.0,5.0,7.0,7.0,7.0,66.0,26.0,17.0,24.0,11.0,0.0,3.0,114.0,343.0,339.0,102.0,Orlin Stanoytchev,Right,1971-09-24,BUL,Paul Kilderry,Right,1973-04-11,AUS,28.0,26.0,49.39759036144578,39.39393939393939,80.48780487804879,65.38461538461539,71.42857142857143,2.0
2000-891,Chennai,2000-01-03,Hard,102965,101647,6-2 7-6(4),3,R32,83.0,4.0,4.0,73.0,33.0,24.0,23.0,10.0,4.0,5.0,2.0,3.0,70.0,37.0,26.0,15.0,10.0,4.0,7.0,161.0,247.0,65.0,606.0,Jamie Delgado,Right,1977-03-21,GBR,Byron Black,Right,1969-10-06,ZIM,22.0,30.0,45.20547945205479,52.85714285714286,72.72727272727273,70.27027027027027,80.0,-8.0
2000-891,Chennai,2000-01-03,Hard,103082,102133,7-6(2) 6-3,3,R32,107.0,7.0,2.0,80.0,44.0,34.0,16.0,10.0,4.0,6.0,8.0,9.0,80.0,35.0,27.0,18.0,11.0,11.0,15.0,128.0,273.0,87.0,369.0,Markus Hantschk,Right,1977-11-19,GER,Laurence Tieleman,Right,1972-11-14,ITA,22.0,27.0,55.00000000000001,43.75,77.27272727272727,77.14285714285715,66.66666666666666,-5.0
2000-891,Chennai,2000-01-03,Hard,102494,102880,6-4 4-6 6-1,3,R32,103.0,0.0,5.0,102.0,65.0,37.0,23.0,14.0,8.0,11.0,4.0,5.0,79.0,45.0,28.0,18.0,13.0,6.0,11.0,119.0,334.0,125.0,341.0,Tomas Behrend,Right,1974-12-12,GER,Alexander Popp,Right,1976-11-04,GER,25.0,23.0,63.725490196078425,56.9620253164557,56.92307692307692,62.22222222222222,72.72727272727273,2.0
2000-891,Chennai,2000-01-03,Hard,103181,102982,6-3 6-4,3,R32,90.0,4.0,1.0,78.0,48.0,32.0,15.0,10.0,6.0,8.0,2.0,3.0,57.0,28.0,18.0,13.0,9.0,7.0,11.0,160.0,257.0,239.0,157.0,Jiri Vanek,Right,1978-04-24,CZE,Yaoki Ishii,Right,1977-04-29,JPN,21.0,22.0,61.53846153846154,49.122807017543856,66.66666666666666,64.28571428571429,75.0,-1.0
2000-891,Chennai,2000-01-03,Hard,102538,102087,7-5 4-6 6-4,3,R32,136.0,5.0,5.0,97.0,50.0,40.0,22.0,16.0,1.0,4.0,3.0,9.0,121.0,72.0,48.0,21.0,16.0,14.0,18.0,164.0,238.0,132.0,339.0,Tuomas Ketola,Right,1975-02-21,FIN,Oleg Ogorodov,Right,1972-07-16,UZB,24.0,27.0,51.546391752577314,59.50413223140496,80.0,66.66666666666666,25.0,-3.0
2000-891,Chennai,2000-01-03,Hard,103714,101826,6-4 6-2,3,R32,69.0,3.0,4.0,55.0,31.0,24.0,11.0,9.0,3.0,5.0,3.0,5.0,55.0,27.0,17.0,10.0,9.0,2.0,7.0,98.0,377.0,116.0,333.0,Andreas Vinciguerra,Left,1981-02-19,SWE,Alex Lopez Moron,Right,1970-11-28,ESP,18.0,29.0,56.36363636363636,49.09090909090909,77.41935483870968,62.96296296296296,60.0,-11.0
2000-891,Chennai,2000-01-03,Hard,102106,102437,7-6(7) 6-4,3,R32,100.0,4.0,1.0,76.0,45.0,35.0,17.0,11.0,1.0,1.0,7.0,5.0,94.0,57.0,42.0,17.0,11.0,4.0,5.0,120.0,306.0,100.0,324.0,Davide Sanguinetti,Right,1972-08-25,ITA,Adrian Voinea,Right,1974-08-06,ROU,27.0,25.0,59.210526315789465,60.63829787234043,77.77777777777779,73.68421052631578,100.0,2.0
2000-891,Chennai,2000-01-03,Hard,102233,102369,6-4 7-6(6),3,R32,108.0,2.0,5.0,82.0,55.0,36.0,17.0,11.0,4.0,5.0,6.0,10.0,78.0,37.0,29.0,19.0,11.0,5.0,7.0,142.0,308.0,133.0,253.0,Leander Paes,Right,1973-06-17,IND,Julien Boutter,Right,1974-04-05,FRA,26.0,25.0,67.07317073170732,47.43589743589743,65.45454545454545,78.37837837837837,80.0,1.0
